"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"211","hydrochlorothiazide","DTXSID2020713","NOEC",11.9092,"ug/L","Zebra Danio","Fish",297.73
"212","hydrochlorothiazide","DTXSID2020713","NOEC",297.731,"ug/L","Zebra Danio","Fish",297.73
"213","ranitidine","DTXSID8045191","NOEC",0.24555,"ug/L","Zebra Danio","Fish",314.4
"214","simvastatin","DTXSID0023581","NOEC",16.7429,"ug/L","Zebra Danio","Fish",418.574
"215","simvastatin","DTXSID0023581","NOEC",1250,"ug/L","Mummichog","Fish",418.574
"216","simvastatin","DTXSID0023581","NOEC",5000,"ug/L","Mummichog","Fish",418.574
"217","verapamil","DTXSID9041152","NOEC",1350,"ug/L","Rainbow Trout","Fish",454.611
"218","verapamil","DTXSID9041152","NOEC",0.47,"ug/L","Rainbow Trout","Fish",454.611
"219","verapamil","DTXSID9041152","NOEC",26.18,"ug/L","Rainbow Trout","Fish",454.611
"220","verapamil","DTXSID9041152","NOEC",251.33,"ug/L","Rainbow Trout","Fish",454.611
"221","verapamil","DTXSID9041152","NOEC",300,"ug/L","Fathead Minnow","Fish",454.611
"222","verapamil","DTXSID9041152","NOEC",600,"ug/L","Fathead Minnow","Fish",454.611
"223","verapamil","DTXSID9041152","NOEC",100,"ug/L","Rainbow Trout","Fish",454.611
"224","verapamil","DTXSID9041152","NOEC",270,"ug/L","Rainbow Trout","Fish",454.611
"225","verapamil","DTXSID9041152","NOEC",454.61,"ug/L","Zebra Danio","Fish",454.611
"226","verapamil","DTXSID9041152","NOEC",4546.1,"ug/L","Common Carp","Fish",454.611
"227","verapamil","DTXSID9041152","NOEC",13638.3,"ug/L","Zebra Danio","Fish",454.611
"228","verapamil","DTXSID9041152","NOEC",300,"ug/L","Fathead Minnow","Fish",454.611
"229","verapamil","DTXSID9041152","NOEC",600,"ug/L","Fathead Minnow","Fish",454.611
"230","valsartan","DTXSID6023735","NOEC",435.526,"ug/L","Zebra Danio","Fish",435.528
"231","erythromycin","DTXSID4022991","NOEC",1e+06,"ug/L","Zebra Danio","Fish",733.937
"232","erythromycin","DTXSID4022991","NOEC",7339.38,"ug/L","Rainbow Trout","Fish",733.937
